iso3,year,export_usd,export_usd_agri,export_usd_fuels,export_usd_mfg,export_usd_non_agri,trade_source
BRN,2010,8837178813.241764,3389265.8129249737,8397409976.275535,422856063.41115427,8820334799.898878,ASEANstats
BRN,2011,12440507595.3181,4689348.996285756,11888827644.729559,532989473.71188056,12421869819.168892,ASEANstats
BRN,2012,13180600609.03823,6186886.999985688,12429313224.900225,726548691.9328681,13155908791.207312,ASEANstats
BRN,2013,11445574182.876856,18431548.19177712,11049506459.13365,359902929.94646853,11409504940.147083,ASEANstats
BRN,2014,10584141313.884563,41566578.64514935,9794519185.176264,733310671.5705428,10527834316.882807,ASEANstats
BRN,2015,6353924085.1138,7191681.479095254,5908894216.645981,428158640.43301195,6338506904.591186,ASEANstats
BRN,2016,6024104731.302824,11781231.99164003,5336649219.256434,664730715.5333865,6001572597.489355,ASEANstats
BRN,2017,5588261657.761331,11071148.332603097,5003927133.647187,562069956.8617027,5566448794.492269,ASEANstats
BRN,2018,6571371351.590254,13508701.35309978,5980399455.698601,568350030.6782542,6548756350.620864,ASEANstats
BRN,2019,7039084880.490754,10727365.046068924,6412700714.856301,609468833.906307,7022174771.319633,ASEANstats
BRN,2020,6607738113.994562,10639357.337782903,5387982186.317244,1208021893.9785187,6596005062.498025,ASEANstats
BRN,2021,11456382915.936155,47224520.86324477,8981318504.274496,2422029597.764374,11403350532.311136,ASEANstats
BRN,2022,14007271785.010344,45129079.41510305,11196003996.423943,2759963171.86377,13955973170.81502,ASEANstats
BRN,2023,10794808974.78144,15963843.166754263,8471343331.621061,2307142535.0085797,10778486092.485666,ASEANstats
BRN,2024,12290100479.861664,12636262.21095245,9302395429.323944,2970890949.3972063,12273292127.835484,ASEANstats
BRN,2025,10287373437.399775,11169701.415290924,7729395740.710237,2543497094.4302034,10272911427.393848,ASEANstats
IDN,2010,157779103470.0,25311231913.0,55078429493.0,77374983663.0,132463352276.0,ASEANstats
IDN,2011,203496626408.0,32167970095.0,76428827233.0,94885998022.0,171327645915.0,ASEANstats
IDN,2012,190031845232.0,32554897131.0,68580796687.0,88875619040.0,157475085517.0,ASEANstats
IDN,2013,182551798697.0,31100691800.0,64128533713.0,87306251447.0,151450842259.0,ASEANstats
IDN,2014,175979986988.0,34087712458.0,53138002149.0,88744291825.0,141891886366.0,ASEANstats
IDN,2015,150282256805.321,31249775409.761,38107855692.356,80892479479.61401,119007883272.94,ASEANstats
IDN,2016,145186211246.42502,30882278732.061996,31621623583.974003,82613357305.714,114242105504.02399,ASEANstats
IDN,2017,168828175936.018,36754377547.58,40861808553.560005,91161799372.692,132033119401.33499,ASEANstats
