exporter_iso3,year,partners_reported,total_trade_usd,reporter_year_complete,status
BRN,2010,23,8525073135.768001,1,REPORTED
BRN,2011,23,11989386946.319,1,REPORTED
BRN,2012,23,12329942363.0,1,REPORTED
BRN,2013,23,10969313459.0,1,REPORTED
BRN,2014,23,10136429870.0,1,REPORTED
BRN,2015,23,5953124509.0,1,REPORTED
BRN,2016,23,4710560257.0,1,REPORTED
BRN,2017,23,5436098346.302,1,REPORTED
BRN,2018,22,6546532833.664,1,REPORTED
BRN,2019,23,7019031079.359999,1,REPORTED
BRN,2020,22,6513408958.72,1,REPORTED
BRN,2021,21,11005427873.720003,1,REPORTED
BRN,2022,23,13958017059.728,1,REPORTED
BRN,2023,22,10719860389.653,1,REPORTED
BRN,2024,21,10936116718.3,1,REPORTED
KHM,2010,23,5132564660.0,1,REPORTED
KHM,2011,23,5926811451.0,1,REPORTED
KHM,2012,23,4949902278.0,1,REPORTED
KHM,2013,23,5508811567.0,1,REPORTED
KHM,2014,23,5679640827.0,1,REPORTED
KHM,2015,23,7007100813.0,1,REPORTED
KHM,2016,23,8092495370.0,1,REPORTED
KHM,2017,23,9092970748.37,1,REPORTED
KHM,2018,23,10310261108.52,1,REPORTED
KHM,2019,23,12318649468.11,1,REPORTED
KHM,2020,23,15661377629.880001,1,REPORTED
KHM,2021,23,14880614906.54,1,REPORTED
KHM,2022,23,17927506743.32,1,REPORTED
KHM,2023,23,19115909852.472,1,REPORTED
KHM,2024,23,23589967436.982002,1,REPORTED
IDN,2010,23,136174392164.0,1,REPORTED
IDN,2011,23,176379478093.0,1,REPORTED
IDN,2012,23,163988348045.0,1,REPORTED
IDN,2013,23,156562994112.0,1,REPORTED
IDN,2014,23,148018630772.0,1,REPORTED
IDN,2015,23,125276742305.0,1,REPORTED
IDN,2016,23,119759928331.0,1,REPORTED
IDN,2017,23,141902221767.534,1,REPORTED
IDN,2018,23,152915170436.30298,1,REPORTED
IDN,2019,23,142267249146.988,1,REPORTED
IDN,2020,23,136708518768.457,1,REPORTED
IDN,2021,23,194956527341.841,1,REPORTED
IDN,2022,23,248623882113.14,1,REPORTED
IDN,2023,23,219321338294.38998,1,REPORTED
IDN,2024,23,225399846168.682,1,REPORTED
MYS,2010,23,172801049164.0,1,REPORTED
MYS,2011,23,195304747846.0,1,REPORTED
MYS,2012,23,199617011079.0,1,REPORTED
MYS,2013,23,200613191988.0,1,REPORTED
MYS,2014,23,206120289385.0,1,REPORTED
MYS,2015,23,175794722317.0,1,REPORTED
MYS,2016,23,165304904762.0,1,REPORTED
MYS,2017,23,188852519552.927,1,REPORTED
MYS,2018,23,218767234854.723,1,REPORTED
MYS,2019,23,211527311419.42798,1,REPORTED
MYS,2020,23,207354853472.94702,1,REPORTED
MYS,2021,23,261137964826.994,1,REPORTED
MYS,2022,23,305488305811.29803,1,REPORTED
MYS,2023,23,272819603814.32098,1,REPORTED
MYS,2024,23,289016362502.034,1,REPORTED
MMR,2010,21,7448738636.137,1,REPORTED
MMR,2011,22,7627624242.0,1,REPORTED
MMR,2012,23,8661511331.0,1,REPORTED
MMR,2013,23,11162178715.0,1,REPORTED
MMR,2014,23,11119160053.649,1,REPORTED
MMR,2015,23,11088548009.313002,1,REPORTED
MMR,2016,23,11133850646.020002,1,REPORTED
MMR,2017,23,12648193526.876,1,REPORTED
MMR,2018,23,14893318976.35,1,REPORTED
MMR,2019,23,15987661545.785,1,REPORTED
MMR,2020,23,15046585076.276003,1,REPORTED
MMR,2021,23,13364029038.401001,1,REPORTED
MMR,2022,23,14315965660.807999,1,REPORTED
MMR,2023,23,12547290649.939001,1,REPORTED
MMR,2024,23,12777406105.562002,1,REPORTED
PHL,2010,23,48165516829.0,1,REPORTED
PHL,2011,23,44181555565.0,1,REPORTED
PHL,2012,23,48629871137.0,1,REPORTED
PHL,2013,23,52728713362.0,1,REPORTED
PHL,2014,23,57759764714.0,1,REPORTED
PHL,2015,23,53782651998.0,1,REPORTED
PHL,2016,23,51947376739.0,1,REPORTED
PHL,2017,23,62733384684.0,1,REPORTED
PHL,2018,23,62071634043.0,1,REPORTED
PHL,2019,23,65661489473.0,1,REPORTED
PHL,2020,23,60844812796.0,1,REPORTED
PHL,2021,23,69217562166.0,1,REPORTED
PHL,2022,23,73318748644.0,1,REPORTED
PHL,2023,23,68124208952.0,1,REPORTED
PHL,2024,23,67636395525.0,1,REPORTED
SGP,2010,23,301937193004.662,1,REPORTED
SGP,2011,23,350958371717.252,1,REPORTED
SGP,2012,23,351031056112.02,1,REPORTED
SGP,2013,23,357118204464.92896,1,REPORTED
SGP,2014,23,354810652956.027,1,REPORTED
SGP,2015,23,312154728876.79,1,REPORTED
SGP,2016,23,294267719474.117,1,REPORTED
SGP,2017,23,325766573767.98596,1,REPORTED
SGP,2018,23,355938640713.071,1,REPORTED
SGP,2019,23,339374331111.16797,1,REPORTED
SGP,2020,23,327106863898.62103,1,REPORTED
SGP,2021,23,401527792803.513,1,REPORTED
SGP,2022,23,442713014272.12396,1,REPORTED
SGP,2023,23,410263884295.9051,1,REPORTED
SGP,2024,23,440104195818.00507,1,REPORTED
THA,2010,23,156773275739.0,1,REPORTED
THA,2011,23,184327978532.0,1,REPORTED
THA,2012,23,183949012786.0,1,REPORTED
THA,2013,23,186781779949.0,1,REPORTED
THA,2014,23,185744978628.0,1,REPORTED
