exporter_iso3,importer_iso3,year,lsbci,ln_lsbci
BRN,ARE,2010,0.1917,-1.6518236289305381
BRN,ARE,2011,0.2015,-1.6019658975953994
BRN,ARE,2012,0.1885,-1.6686572720940716
BRN,ARE,2013,0.189,-1.6660082639224947
BRN,ARE,2014,0.1884,-1.6691879168398742
BRN,ARE,2015,0.1992,-1.6134459338316391
BRN,ARE,2016,0.2011,-1.6039529822035308
BRN,ARE,2017,0.2033,-1.593072558347836
BRN,ARE,2018,0.1919,-1.650780875968483
BRN,ARE,2019,0.2076,-1.5721421276904035
BRN,ARE,2020,0.2114,-1.5540032055459998
BRN,ARE,2021,0.2018,-1.6004781710626284
BRN,ARE,2022,0.2068,-1.5760031363478628
BRN,ARE,2023,0.2098,-1.5616005830199404
BRN,ARE,2024,0.2159,-1.5329399414613754
BRN,ARE,2025,0.2038,-1.5906161581935125
BRN,AUS,2010,0.1874,-1.6745099091778153
BRN,AUS,2011,0.1985,-1.616966178854892
BRN,AUS,2012,0.1833,-1.6966311241364778
BRN,AUS,2013,0.1861,-1.6814711153339321
BRN,AUS,2014,0.1867,-1.67825222843446
BRN,AUS,2015,0.1959,-1.6301509540316421
BRN,AUS,2016,0.1985,-1.616966178854892
BRN,AUS,2017,0.2017,-1.600973834021971
BRN,AUS,2018,0.1894,-1.663894098230159
BRN,AUS,2019,0.204,-1.5896352851379207
BRN,AUS,2020,0.2018,-1.6004781710626284
BRN,AUS,2021,0.1949,-1.635268672468622
BRN,AUS,2022,0.202,-1.5994875815809322
BRN,AUS,2023,0.2063,-1.5784238589049309
BRN,AUS,2024,0.2107,-1.5573199581719936
BRN,AUS,2025,0.1944,-1.6378373869557985
BRN,CAN,2010,0.1871,-1.6761120457020933
BRN,CAN,2011,0.1985,-1.616966178854892
BRN,CAN,2012,0.1859,-1.6825463842547386
BRN,CAN,2013,0.1863,-1.6803970013745944
BRN,CAN,2014,0.1865,-1.6793240398982667
BRN,CAN,2015,0.1978,-1.6204988597935253
BRN,CAN,2016,0.1975,-1.6220166946409604
