Biến số,N,Mean,Std. Dev.,Min,P25,Median,P75,Max
Tổng xuất khẩu (tỷ USD),135,158.568,141.606,3.826,14.872,157.779,244.92,514.874
Xuất khẩu Nông-Thủy sản HS 01-24 (tỷ USD),135,16.131,14.648,0.003,3.436,10.765,29.783,55.187
Xuất khẩu Nhiên liệu-Khoáng sản HS 25-27 (tỷ USD),135,20.643,23.344,0.001,3.57,9.026,37.851,81.782
Xuất khẩu Công nghiệp chế tạo HS 28-96 (tỷ USD),135,118.211,111.826,0.36,8.523,88.744,187.951,399.073
Chỉ số LSCI,135,225.907,185.926,15.106,38.718,208.188,340.404,596.102
GDP hiện hành (tỷ USD),135,327.642,309.225,11.4,60.124,307.999,413.406,1396.302
Dân số (triệu người),135,71.699,78.016,0.392,15.283,51.895,97.626,283.488
FDI ròng (% GDP),135,5.886,6.969,-1.739,2.03,3.319,5.298,32.262
ln(Tổng xuất khẩu),135,25.038,1.489,22.065,23.423,25.784,26.224,26.967
ln(LSCI),135,4.912,1.154,2.715,3.656,5.338,5.83,6.39
ln(GDP),135,25.873,1.363,23.157,24.82,26.453,26.748,27.965
ln(Dân số),135,17.163,1.832,12.88,16.542,17.765,18.397,19.463
Xuất khẩu song phương (triệu USD),3216,5597.264,10077.19,0.0,126.574,1601.452,6474.352,109459.566
Chỉ số LSBCI song phương,3082,0.385,0.16,0.155,0.246,0.353,0.5,0.794
ln(LSBCI),3082,-1.041,0.419,-1.864,-1.402,-1.041,-0.693,-0.23
